item_details,item_location,item_price,item_title
2018,"Cilandak, Jakarta Selatan",Rp 16.500.000,AEROX STD TAHUN 2018 HITAM
2017,"Cilandak, Jakarta Selatan",Rp 375.000.000,TRIUMPH T120 - 2017 - pajak panjang
2015,"Pesanggrahan, Jakarta Selatan",Rp 32.500.000,Peugeot Django Scooter
2021,"Cilandak, Jakarta Selatan",Rp 28.000.000,YAMAHA R15 2021
2018,"Kebayoran Baru, Jakarta Selatan",Rp 46.950.000,Yamaha xmax tahun 2018
2016,"Kebayoran Baru, Jakarta Selatan",Rp 12.500.000,Vario 125 cc Tahun 2016
2021,"Pesanggrahan, Jakarta Selatan",Rp 1.800.000,Motor trail mini
2009,"Pesanggrahan, Jakarta Selatan",Rp 7.950.000,"Jual beat kalbu tahun 2009, greees"
2008,"Cilandak, Jakarta Selatan",Rp 16.000.000,Motor Honda Tiger Revo tahun 2008
2007,"Pesanggrahan, Jakarta Selatan",Rp 3.000.000,mio smile kondisi bagus
2021,"Mampang Prapatan, Jakarta Selatan",Rp 26.900.000,(DP 500 Rb) NMax Connected Hitam 2021 Dijual Cash / Kredit
2018,"Kebayoran Baru, Jakarta Selatan",Rp 46.800.000,XMAX km low pajak panjang
2021,"Cilandak, Jakarta Selatan",Rp 52.500.000,Xmax tahun 2021
2022,"Kebayoran Lama, Jakarta Selatan",Rp 15.000.000,Seperti Baru! HONDA NEW SUPRA X 125 FI 2022 Akhir Pajak Panjang
2022,"Kebayoran Lama, Jakarta Selatan",Rp 15.500.000,Km 7rb! HONDA NEW BEAT 110 FI CBS 2022 Akhir Pajak hidup panjang
2019,"Kebayoran Lama, Jakarta Selatan",Rp 43.000.000,Vespa Primavera S Special Edition 2019 (RARE)
2022,"Pasar Minggu, Jakarta Selatan",Rp 15.400.000,"Motor beat MURAH 2022, km.1900"
2023,"Pesanggrahan, Jakarta Selatan",Rp 165.000.000,Honda Monkey dan Sespan
2023,"Cilandak, Jakarta Selatan",Rp 49.900.000,Primavera Tidak jadi pakai
2023,"Pesanggrahan, Jakarta Selatan",Rp 16.500.000,(Pakai 2 Bulan Km 1200) Honda Beat Deluxe 2023 Bln 8 Brown Mulus 99%
2018,"Cilandak, Jakarta Selatan",Rp 16.500.000,AEROX STD TAHUN 2018 HITAM
2017,"Cilandak, Jakarta Selatan",Rp 375.000.000,TRIUMPH T120 - 2017 - pajak panjang
2015,"Pesanggrahan, Jakarta Selatan",Rp 32.500.000,Peugeot Django Scooter
2021,"Cilandak, Jakarta Selatan",Rp 28.000.000,YAMAHA R15 2021
2018,"Kebayoran Baru, Jakarta Selatan",Rp 46.950.000,Yamaha xmax tahun 2018
2016,"Kebayoran Baru, Jakarta Selatan",Rp 12.500.000,Vario 125 cc Tahun 2016
2021,"Pesanggrahan, Jakarta Selatan",Rp 1.800.000,Motor trail mini
2009,"Pesanggrahan, Jakarta Selatan",Rp 7.950.000,"Jual beat kalbu tahun 2009, greees"
2008,"Cilandak, Jakarta Selatan",Rp 16.000.000,Motor Honda Tiger Revo tahun 2008
2007,"Pesanggrahan, Jakarta Selatan",Rp 3.000.000,mio smile kondisi bagus
2021,"Mampang Prapatan, Jakarta Selatan",Rp 26.900.000,(DP 500 Rb) NMax Connected Hitam 2021 Dijual Cash / Kredit
2018,"Kebayoran Baru, Jakarta Selatan",Rp 46.800.000,XMAX km low pajak panjang
2021,"Cilandak, Jakarta Selatan",Rp 52.500.000,Xmax tahun 2021
2022,"Kebayoran Lama, Jakarta Selatan",Rp 15.000.000,Seperti Baru! HONDA NEW SUPRA X 125 FI 2022 Akhir Pajak Panjang
2022,"Kebayoran Lama, Jakarta Selatan",Rp 15.500.000,Km 7rb! HONDA NEW BEAT 110 FI CBS 2022 Akhir Pajak hidup panjang
2019,"Kebayoran Lama, Jakarta Selatan",Rp 43.000.000,Vespa Primavera S Special Edition 2019 (RARE)
2022,"Pasar Minggu, Jakarta Selatan",Rp 15.400.000,"Motor beat MURAH 2022, km.1900"
2023,"Pesanggrahan, Jakarta Selatan",Rp 165.000.000,Honda Monkey dan Sespan
2023,"Cilandak, Jakarta Selatan",Rp 49.900.000,Primavera Tidak jadi pakai
2023,"Pesanggrahan, Jakarta Selatan",Rp 16.500.000,(Pakai 2 Bulan Km 1200) Honda Beat Deluxe 2023 Bln 8 Brown Mulus 99%
